Cluster_ID,New_Job_Group,Size,Mean_Confidence,Median_Mid_Salary,Salary_Count,Top_Original_Category,Top_Original_Category_Pct,Num_Original_Categories,Top_Countries,Top_Skills,Gaming_Share
-1,Uncertain/Hybrid (low confidence),60188,0.17440515262538653,157450.0,18711,Engineering & Development,0.2533229215125939,32,"United States, India, United Kingdom","communication, team-management, cross-functional, talent-acquisition, python, problem-solving",0.08923705722070845
5,"acquisition, talent, communication, team, management, glsl",954,0.6803170421695381,118192.0,190,Customer & Community Support,0.2557651991614256,29,"Australia, United States, United Kingdom","talent-acquisition, communication, team-management",0.02410901467505241
6,"communication, zeplin, gitlab, grafana, gradle, grading",856,1.0,84924.0,222,Facilities & Maintenance,0.11214953271028037,31,"United States, India, France",communication,0.02570093457943925
10,"office, microsoft, ms, excel, communication, management",652,0.5766632654448217,73840.0,167,Operations & Admin,0.12883435582822086,26,"United States, India, United Kingdom","ms-office, microsoft-office, communication, excel, team-management, talent-acquisition",0.012269938650306749
13,"team, management, communication, gitlab, grafana, gradle",568,0.5263020474410601,127300.0,160,Operations & Admin,0.13380281690140844,30,"United States, India, Mexico","team-management, communication, management",0.04225352112676056
8,"problem, solving, communication, team, management, game",276,0.5359384942639411,70720.0,50,Engineering & Development,0.18478260869565216,23,"United States, India, China","problem-solving, communication, team-management, loopback",0.007246376811594203
17,"cad, aided, computer, design, communication, management",180,0.6047318675524473,124250.0,91,Engineering & Development,0.4,21,"United States, Canada, United Kingdom","cad-computer-aided-design, communication, team-management, python, cross-functional, cpp",0.08333333333333333
7,"control, quality, communication, team, management, gl",165,0.5139949673833928,142308.0,31,QA / QAE,0.2545454545454545,21,"United States, India, Mexico","quality-control, communication, team-management",0.0
15,"budget, management, team, communication, gitlab, graphics",137,0.5134102296344459,126250.0,22,Operations & Admin,0.25547445255474455,18,"United States, India, Mexico","budget-management, team-management, communication",0.029197080291970802
1,"market, research, communication, team, management, cross",136,0.5426410220973724,176000.0,37,Business Development & Sales,0.25,18,"United States, United Kingdom, India","market-research, communication, team-management, cross-functional, talent-acquisition, excel",0.014705882352941176
18,"experience, ux, user, communication, cross, functional",55,0.5146585840508534,152287.5,24,"Product, Project, and Program Management",0.18181818181818182,14,"United States, India, Spain","user-experience-ux, communication, cross-functional, team-management",0.14545454545454545
12,"financial, accounting, analysis, data, management, strategic",35,0.5195720854426756,103500.0,8,Accounting & Finance,0.8,4,"United States, Canada, India","accounting, financial-data-analysis, team-management, communication, excel, strategic-financial-management",0.0
16,"cross, functional, collaboration, team, management, communication",28,0.5279493188198837,166112.5,7,"Product, Project, and Program Management",0.21428571428571427,10,"United States, Mexico, Hong Kong","cross-functional, cross-functional-collaboration, team-management, communication, talent-acquisition, excel",0.07142857142857142
